Ciclo;Créditos;CodAsignatura;NomAsignatura;Cod Pre-Requisito;Nom Pre-Requisito
1;2.0;INE002;PROGRAMACIÓN Y COMPUTACIÓN;;
1;2.0;INE013;EMPRENDIMIENTO E INNOVACIÓN;;
1;3.0;INO101;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I;;
1;2.0;INO102;MÉTODOS DE ESTUDIO UNIVERSITARIO;;
1;2.0;INO103;DESARROLLO PERSONAL Y LIDERAZGO;;
1;4.0;INO104;CÁLCULO I;;
1;4.0;INO105;BIOLOGÍA PARA CIENCIAS E INGENIERÍA;;
1;4.0;INO106;ÁLGEBRA Y GEOMETRÍA ANALÍTICA;;
1;3.0;INO107;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;;
2;3.0;INO201;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA II;INO101;REDACCIÓN Y TÉCNICAS DE COMUNICACIÓN EFECTIVA I
2;3.0;INO202;INVESTIGACIÓN FORMATIVA;;
2;2.0;INO203;REALIDAD NACIONAL Y MUNDIAL;;
2;4.0;INO204;CÁLCULO II;INO104;CÁLCULO I
2;4.0;INO205;FÍSICA I;;
2;4.0;INO206;QUÍMICA GENERAL;;
2;2.0;INO207;INTRODUCCIÓN A LAS CIENCIAS E INGENIERÍA;;
3;4.0;202W0301;ALGORÍTMICA I;;
3;3.0;202W0302;ESTADÍSTICA;;
3;3.0;202W0303;FISICA ELÉCTRONICA;;
3;3.0;202W0304;INGENIERÍA ECONÓMICA;;
3;3.0;202W0305;INTRODUCCIÓN AL DESARROLLO DE SOFTWARE;;
3;4.0;202W0306;MATEMÁTICA BÁSICA;;
3;3.0;202W0307;ORGANIZACIÓN Y ADMINISTRACIÓN;;
4;4.0;202W0401;ALGORÍTMICA II;202W0301;ALGORÍTMICA I
4;3.0;202W0402;CONTABILIDAD PARA LA GESTIÓN;202W0307;ORGANIZACIÓN Y ADMINISTRACIÓN
4;3.0;202W0403;INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO;202W0304;INGENIERÍA ECONÓMICA
4;3.0;202W0404;MATEMÁTICA DISCRETA;202W0306;MATEMÁTICA BÁSICA
4;3.0;202W0405;PROBABILIDADES;202W0302;ESTADÍSTICA
4;3.0;202W0406;PROCESOS DE SOFTWARE;202W0305;INTRODUCCIÓN AL DESARROLLO DE SOFTWARE
4;3.0;202W0406;PROCESOS DE SOFTWARE;202W0304;INGENIERÍA ECONÓMICA
4;3.0;202W0407;SISTEMAS DIGITALES;202W0303;FISICA ELÉCTRONICA
5;3.0;202W0501;ANÁLISIS Y DISEÑO DE ALGORITMOS;202W0401;ALGORÍTMICA II
5;3.0;202W0501;ANÁLISIS Y DISEÑO DE ALGORITMOS;202W0405;PROBABILIDADES
5;3.0;202W0502;ARQUITECTURA DE COMPUTADORAS;202W0407;SISTEMAS DIGITALES
5;3.0;202W0503;CALIDAD DE SOFTWARE;202W0406;PROCESOS DE SOFTWARE
5;3.0;202W0504;COMPUTACIÓN VISUAL;202W0404;MATEMÁTICA DISCRETA
5;4.0;202W0505;ESTRUCTURA DE DATOS;202W0401;ALGORÍTMICA II
5;3.0;202W0506;ECONOMÍA PARA LA GESTIÓN;202W0402;CONTABILIDAD PARA LA GESTIÓN
5;4.0;202W0507;INGENIERÍA DE REQUISITOS;202W0406;PROCESOS DE SOFTWARE
6;3.0;202W0601;ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE;202W0503;CALIDAD DE SOFTWARE
6;4.0;202W0602;BASE DE DATOS I;202W0505;ESTRUCTURA DE DATOS
6;4.0;202W0603;DISEÑO DE SOFTWARE;202W0507;INGENIERÍA DE REQUISITOS
6;4.0;202W0603;DISEÑO DE SOFTWARE;202W0505;ESTRUCTURA DE DATOS
6;3.0;202W0604;FORMACIÓN DE EMPRESAS DE SOFTWARE;202W0506;ECONOMÍA PARA LA GESTIÓN
6;3.0;202W0604;FORMACIÓN DE EMPRESAS DE SOFTWARE;202W0403;INNOVACIÓN, TECNOLOGÍA Y EMPRENDIMIENTO
6;3.0;202W0605;GESTIÓN DE LA CONFIGURACIÓN DEL SOFTWARE;202W0406;PROCESOS DE SOFTWARE
6;3.0;202W0606;INTERACCIÓN HOMBRE COMPUTADOR;202W0504;COMPUTACIÓN VISUAL
6;3.0;202W0607;SISTEMAS OPERATIVOS;202W0502;ARQUITECTURA DE COMPUTADORAS
7;4.0;202W0701;ARQUITECTURA DE SOFTWARE;202W0602;BASE DE DATOS I
7;4.0;202W0701;ARQUITECTURA DE SOFTWARE;202W0603;DISEÑO DE SOFTWARE
7;4.0;202W0701;ARQUITECTURA DE SOFTWARE;202W0601;ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE
7;4.0;202W0702;BASE DE DATOS II;202W0602;BASE DE DATOS I
7;3.0;202W0703;EXPERIENCIA DE USUARIO Y USABILIDAD;202W0603;DISEÑO DE SOFTWARE
7;3.0;202W0703;EXPERIENCIA DE USUARIO Y USABILIDAD;202W0606;INTERACCIÓN HOMBRE COMPUTADOR
7;3.0;202W0704;GESTIÓN DE PROYECTO DE SOFTWARE;202W0604;FORMACIÓN DE EMPRESAS DE SOFTWARE
7;3.0;202W0705;INTELIGENCIA ARTIFICIAL;202W0606;INTERACCIÓN HOMBRE COMPUTADOR
7;3.0;202W0706;MÉTODOS FORMALES PARA PRUEBAS;202W0503;CALIDAD DE SOFTWARE
7;3.0;202W0706;MÉTODOS FORMALES PARA PRUEBAS;202W0605;GESTIÓN DE LA CONFIGURACIÓN DEL SOFTWARE
7;3.0;202W0707;REDES Y TRANSMISIÓN DE DATOS;202W0607;SISTEMAS OPERATIVOS
8;3.0;202W0801;AUTOMATIZACIÓN Y CONTROL DE SOFTWARE;202W0707;REDES Y TRANSMISIÓN DE DATOS
8;3.0;202W0802;INTELIGENCIA DE NEGOCIOS;202W0501;ANÁLISIS Y DISEÑO DE ALGORITMOS
8;3.0;202W0802;INTELIGENCIA DE NEGOCIOS;202W0702;BASE DE DATOS II
8;2.0;202W0803;METODOLOGÍA DE LA INVESTIGACIÓN;202W0701;ARQUITECTURA DE SOFTWARE
8;2.0;202W0803;METODOLOGÍA DE LA INVESTIGACIÓN;202W0705;INTELIGENCIA ARTIFICIAL
8;3.0;202W0804;MINERÍA DE DATOS;202W0702;BASE DE DATOS II
8;3.0;202W0805;PROGRAMACIÓN CONCURRENTE Y PARALELA;202W0607;SISTEMAS OPERATIVOS
8;3.0;202W0806;SEGURIDAD DEL SOFTWARE;202W0601;ASEGURAMIENTO DE LA CALIDAD DEL SOFTWARE
8;3.0;202W0806;SEGURIDAD DEL SOFTWARE;202W0707;REDES Y TRANSMISIÓN DE DATOS
8;3.0;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;202W0701;ARQUITECTURA DE SOFTWARE
8;3.0;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;202W0702;BASE DE DATOS II
8;3.0;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;202W0703;EXPERIENCIA DE USUARIO Y USABILIDAD
8;3.0;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB;202W0707;REDES Y TRANSMISIÓN DE DATOS
8;3.0;202W0808;VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE;202W0706;MÉTODOS FORMALES PARA PRUEBAS
9;2.0;202W0901;DESARROLLO DE TESIS I;202W0803;METODOLOGÍA DE LA INVESTIGACIÓN
9;3.0;202W0902;GARANTÍA DE SOFTWARE;202W0806;SEGURIDAD DEL SOFTWARE
9;3.0;202W0903;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN;202W0704;GESTIÓN DE PROYECTO DE SOFTWARE
9;3.0;202W0904;GESTIÓN DE MANTENIMIENTO DEL SOFTWARE;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB
9;3.0;202W0905;GESTIÓN DE RIESGO DEL SOFTWARE;202W0704;GESTIÓN DE PROYECTO DE SOFTWARE
9;3.0;202W0906;INTERNET DE LAS COSAS;202W0801;AUTOMATIZACIÓN Y CONTROL DE SOFTWARE
9;3.0;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;202W0807;TALLER DE CONSTRUCCIÓN DE SOFTWARE WEB
9;3.0;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL;202W0808;VERIFICACIÓN Y VALIDACIÓN DE SOFTWARE
9;3.0;202W0908;SOFTWARE INTELIGENTE;202W0705;INTELIGENCIA ARTIFICIAL
10;3.0;202W1001;ANALÍTICA DE DATOS;202W0802;INTELIGENCIA DE NEGOCIOS
10;3.0;202W1001;ANALÍTICA DE DATOS;202W0908;SOFTWARE INTELIGENTE
10;2.0;202W1002;DESARROLLO DE TESIS II;202W0901;DESARROLLO DE TESIS I
10;4.0;202W1003;PRÁCTICA PRE PROFESIONAL;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL
10;3.0;202W1004;TALLER DE APLICACIONES SOCIALES;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL
10;3.0;202W1005;TENDENCIAS DE ARQUITECTURA DE SOFTWARE;202W0907;TALLER DE CONSTRUCCIÓN DE SOFTWARE MÓVIL
10;3.0;202W1006;TENDENCIAS EN INGENIERÍA DE SOFTWARE Y GESTIÓN;202W0903;GERENCIA DE TECNOLOGÍA DE LA INFORMACIÓN
